Symbol,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, ISIN NUMBER, FACE VALUE
CHANDAN,Chandan Healthcare Limited,SM,17-Feb-25,10,INE0B2N01016,10
ELGNZ,Eleganz Interiors Limited,SM,14-Feb-25,10,INE0R9101015,10
READYMIX,Readymix Construction Machinery Limited,ST,13-Feb-25,10,INE10QL01011,10
KEN,Ken Enterprises Limited,ST,12-Feb-25,10,INE15DO01012,10
CHAMUNDA,Chamunda Electrical Limited,ST,11-Feb-25,10,INE11HG01018,10
REXPRO,Rexpro Enterprises Limited,SM,29-Jan-25,10,INE113601012,10
EMAPARTNER,EMA Partners India Limited,SM,24-Jan-25,5,INE0ZOL01023,5
KKJEWELS,Kabra Jewels Limited,ST,22-Jan-25,10,INE0XOW01017,10
BARFLEX,Barflex Polyfilms Limited,SM,20-Jan-25,10,INE0QX401014,10
SATKARTAR,Sat Kartar Shopping Limited,SM,17-Jan-25,10,INE0NB801022,10
DELTIC,Delta Autocorp Limited,ST,14-Jan-25,10,INE0XRN01019,10
ANYA,Anya Polytech & Fertilizers Limited,SM,02-Jan-25,2,INE0SI601032,2
NMSTEEL,Newmalayalam Steel Limited,ST,27-Dec-24,10,INE0TP801012,10
IDENTICAL,Identical Brains Studios Limited,SM,26-Dec-24,10,INE0TD101011,10
SFML,Supreme Facility Management Limited,ST,18-Dec-24,10,INE0U6N01014,10
PURPLEUTED,Purple United Sales Limited,ST,18-Dec-24,10,INE0P5R01014,10
DHANLAXMI,Dhanlaxmi Crop Science Limited,SM,16-Dec-24,10,INE0V9V01010,10
ETML,Emerald Tyre Manufacturers Limited,SM,12-Dec-24,10,INE0RHD01013,10
GANESHIN,Ganesh Infraworld Limited,ST,06-Dec-24,5,INE0TVT01024,5
AGARWALTUF,Agarwal Toughened Glass India Limited,SM,05-Dec-24,10,INE0P8X01016,10
APEXECO,Apex Ecotech Limited,ST,04-Dec-24,10,INE0T4V01015,10
ABHAPOWER,Abha Power and Steel Limited,ST,04-Dec-24,10,INE0UYG01015,10
RAJPUTANA,Rajputana Biodiesel Limited,SM,03-Dec-24,10,INE0VHU01019,10
C2C,C2C Advanced Systems Limited,ST,03-Dec-24,10,INE0U7V01015,10
ITTL,Innovative Tyres & Tubes Limited,ST,02-Dec-24,10,INE070Y01023,10
LAMOSAIC,Lamosaic India Limited,ST,29-Nov-24,10,INE0R0201012,10
ONYX,Onyx Biotec Limited,SM,22-Nov-24,10,INE0WVU01018,10
NEELAM,Neelam Linens and Garments (India) Limited,ST,18-Nov-24,10,INE0N1401016,10
USHAFIN,Usha Financial Services Limited,ST,31-Oct-24,10,INE0LS001014,10
DANISH,Danish Power Limited,SM,29-Oct-24,10,INE0YU901016,10
OBSCP,OBSC Perfection Limited,SM,29-Oct-24,10,INE0YHV01011,10
UHTL,United Heat Transfer Limited,SM,29-Oct-24,10,INE0SMR01011,10
PREMIUM,Premium Plast Limited,SM,28-Oct-24,10,INE0M1F01011,10
FRESHARA,Freshara Agro Exports Limited,SM,24-Oct-24,10,INE0SFW01015,10
LAKSHYA,Lakshya Powertech Limited,ST,23-Oct-24,10,INE0VZS01015,10
PRANIK,Pranik Logistics Limited,SM,17-Oct-24,10,INE0VJG01014,10
PARAMOUNT,Paramount Dye Tec Limited,ST,08-Oct-24,10,INE0TG801013,10
HVAX,HVAX Technologies Limited,SM,07-Oct-24,10,INE0TO501019,10
SAJHOTELS,Saj Hotels Limited,SM,07-Oct-24,10,INE00MT01022,10
SAHASRA,Sahasra Electronic Solutions Limited,ST,04-Oct-24,10,INE0RBQ01018,10
FORGEAUTO,Forge Auto International Limited,SM,04-Oct-24,10,INE0YKW01013,10
DIVYADHAN,Divyadhan Recycling Industries Limited,ST,04-Oct-24,10,INE0QYI01019,10
TECHERA,TechEra Engineering (India) Limited,SM,03-Oct-24,10,INE0JQS01019,10
UNILEX,Unilex Colours and Chemicals Limited,SM,03-Oct-24,10,INE0B2801011,10
THESL,Thinking Hats Entertainment Solutions Limited,SM,03-Oct-24,10,INE0SHE01019,10
RAPPID,Rappid Valves (India) Limited,SM,30-Sep-24,10,INE0MVO01012,10
WOL3D,Wol 3D India Limited,SM,30-Sep-24,10,INE0OO201011,10
SDREAMS,S D Retail Limited,ST,27-Sep-24,10,INE0X6F01017,10
AVIANSH,Avi Ansh Textile Limited,SM,27-Sep-24,10,INE0TFB01017,10
PHOGLOBAL,Phoenix Overseas Limited,ST,27-Sep-24,10,INE0FPO01018,10
BIKEWO,Bikewo Green Tech Limited,ST,27-Sep-24,10,INE0SQH01013,10
KALANA,Kalana Ispat Limited,SM,26-Sep-24,10,INE0T0L01014,10
PSFL,Paramount Speciality Forgings Limited,SM,25-Sep-24,10,INE0Q6001012,10
ENVIRO,Envirotech Systems Limited,SM,24-Sep-24,10,INE0SUH01015,10
OSELDEVICE,Osel Devices Limited,ST,24-Sep-24,10,INE0RMF01018,10
PELATRO,Pelatro Limited,SM,24-Sep-24,10,INE0VG601013,10
DECCANTRAN,Deccan Transcon Leasing Limited,SM,24-Sep-24,10,INE0S7C01019,10
EXCELLENT,Excellent Wires and Packaging Limited,SM,19-Sep-24,10,INE0Y4801011,10
INNOMET,Innomet Advanced Materials Limited,SM,18-Sep-24,10,INE0S1D01010,10
SPPPOLY,SPP Polymer Limited,SM,17-Sep-24,10,INE0QR801013,10
AUSL,Aditya Ultra Steel Limited,ST,16-Sep-24,10,INE01YQ01013,10
GAJANAND,Gajanand International Limited,SM,16-Sep-24,10,INE0QTE01018,10
SHUBHSHREE,Shubhshree Biofuels Energy Limited,SM,16-Sep-24,10,INE0UL701015,10
VIESL,Vision Infra Equipment Solutions Limited,SM,13-Sep-24,10,INE0TR001017,10
MYMUDRA,My Mudra Fincorp Limited,SM,12-Sep-24,10,INE0RVQ01016,10
NAMOEWASTE,Namo eWaste Management Limited,SM,11-Sep-24,10,INE08NZ01012,10
JEYYAM,Jeyyam Global Foods Limited,SM,09-Sep-24,5,INE0RXB01022,5
BOSS,Boss Packaging Solutions Limited,SM,06-Sep-24,10,INE0QNI01012,10
AERON,Aeron Composite Limited,SM,04-Sep-24,10,INE0WL801011,10
PARAMATRIX,Paramatrix Technologies Limited,SM,04-Sep-24,10,INE0S2W01018,10
IPHL,Indian Phosphate Limited,ST,03-Sep-24,10,INE0DHF01018,10
JAYBEE,Jay Bee Laminations Limited,SM,03-Sep-24,10,INE0SMY01017,10
VDEAL,Vdeal System Limited,SM,03-Sep-24,10,INE0U2M01015,10
IDEALTECHO,Ideal Technoplast Industries Limited,SM,28-Aug-24,10,INE0T9I01011,10
QVCEL,QVC Exports Limited,ST,28-Aug-24,10,INE0KZF01015,10
FORCAS,Forcas Studio Limited,SM,26-Aug-24,10,INE0U2501017,10
BRACEPORT,Brace Port Logistics Limited,SM,26-Aug-24,10,INE0R4Z01018,10
BALCO,Solve Plastic Products Limited,ST,21-Aug-24,10,INE0U0201016,10
SUNLITE,Sunlite Recycling Industries Limited,SM,20-Aug-24,10,INE0U2N01013,10
POSITRON,Positron Energy Limited,ST,20-Aug-24,10,INE0S3H01017,10
AESTHETIK,Aesthetik Engineers Limited,SM,16-Aug-24,10,INE0TSF01011,10
PPSL,Picturepost Studios Limited,SM,09-Aug-24,1,INE0YAL01017,1
DHARIWAL,Dhariwalcorp Limited,SM,08-Aug-24,10,INE0YRN01017,10
UTSSAV,Utssav CZ Gold Jewels Limited,SM,07-Aug-24,10,INE06IJ01010,10
RAJINDLTD,Rajputana Industries Limited,SM,06-Aug-24,10,INE0PCU01012,10
SSEGL,Sathlokhar Synergys E&C Global Limited,SM,06-Aug-24,10,INE0RFP01011,10
BULKCORP,Bulkcorp International Limited,ST,06-Aug-24,10,INE0SZ301012,10
ASHALOG,Ashapura Logistics Limited,SM,06-Aug-24,10,INE0LAA01017,10
SATECH,S A Tech Software India Limited,ST,02-Aug-24,10,INE0BSN01013,10
ESPRIT,Esprit Stones Limited,SM,02-Aug-24,10,INE0SBP01018,10
TROM,Trom Industries Limited,SM,01-Aug-24,10,INE0SYV01018,10
APRAMEYA,Aprameya Engineering Limited,SM,01-Aug-24,10,INE0LQG01010,10
MIEL,Manglam Infra & Engineering Limited,ST,31-Jul-24,10,INE0R3101011,10
CHETANA,Chetana Education Limited,SM,31-Jul-24,10,INE0U1T01012,10
VLINFRA,V.L.Infraprojects Limited,SM,30-Jul-24,10,INE0QXL01015,10
RNFI,RNFI Services Limited,ST,29-Jul-24,10,INE0SA001017,10
MACOBSTECH,Macobs Technologies Limited,SM,24-Jul-24,10,INE0R0J01010,10
KATARIA,Kataria Industries Limited,SM,24-Jul-24,10,INE0SVY01018,10
TUNWAL,Tunwal E-Motors Limited,SM,23-Jul-24,2,INE0OXV01027,2
SATIPOLY,Sati Poly Plast Limited,ST,22-Jul-24,10,INE0RPM01017,10
PRIZOR,Prizor Viztech Limited,SM,22-Jul-24,10,INE0V9N01017,10
SAHAJSOLAR,Sahaj Solar Limited,ST,19-Jul-24,10,INE0P4701011,10
GGBL,Ganesh Green Bharat Limited,ST,12-Jul-24,10,INE0R8C01018,10
EFFWA,Effwa Infra & Research Limited,SM,12-Jul-24,10,INE0U9101019,10
AMBEY,Ambey Laboratories Limited,SM,11-Jul-24,10,INE0M3I01029,10
NEPHROCARE,Nephro Care India Limited,SM,05-Jul-24,10,INE0SUN01013,10
DTL,Diensten Tech Limited,SM,03-Jul-24,10,INE0JRD01019,10
AKIKO,Akiko Global Services Limited,SM,02-Jul-24,10,INE0PMR01017,10
DPEL,Divine Power Energy Limited,ST,02-Jul-24,10,INE0SCO01019,10
PCCL,Petro Carbon and Chemicals Limited,SM,02-Jul-24,10,INE998U01015,10
MASON,Mason Infratech Limited,SM,01-Jul-24,10,INE0SH001010,10
VISAMAN,Visaman Global Sales Limited,SM,01-Jul-24,10,INE0BHK01012,10
SYLVANPLY,Sylvan Plyboard (India) Limited,SM,01-Jul-24,10,INE01IH01015,10
SPCL,Shivalic Power Control Limited,ST,01-Jul-24,10,INE0T7B01010,10
MEDIORG,Medicamen Organics Limited,ST,28-Jun-24,10,INE0PE401018,10
WINNY,Winny Immigration & Education Services Limited,SM,27-Jun-24,10,INE0S9101013,10
DURLAX,Durlax Top Surface Limited,SM,26-Jun-24,10,INE0OUW01013,10
FALCONTECH,Falcon Technoprojects India Limited,ST,26-Jun-24,10,INE0PQK01013,10
GPECO,GP Eco Solutions India Limited,SM,24-Jun-24,10,INE0S7E01015,10
TBI,TBI Corn Limited,ST,07-Jun-24,10,INE0N2D01013,10
AIMTRON,Aimtron Electronics Limited,SM,06-Jun-24,10,INE0RUV01018,10
ZTECH,Z-Tech (India) Limited,ST,05-Jun-24,10,INE0ISZ01012,10
BEACON,Beacon Trusteeship Limited,SM,04-Jun-24,10,INE639X01027,10
VILAS,Vilas Transcore Limited,SM,03-Jun-24,10,INE0AZY01017,10
GSMFOILS,GSM Foils Limited,ST,31-May-24,10,INE0SQY01018,10
RULKA,Rulka Electricals Limited,ST,24-May-24,10,INE0R7301013,10
HOACFOODS,Hoac Foods India Limited,SM,24-May-24,10,INE0S6S01017,10
QUESTLAB,Quest Laboratories Limited,ST,23-May-24,10,INE0TNW01017,10
IEML,Indian Emulsifiers Limited,ST,22-May-24,10,INE0RRU01016,10
MANDEEP,Mandeep Auto Industries Limited,ST,21-May-24,10,INE0R3T01013,10
VERITAAS,Veritaas Advertising Limited,ST,21-May-24,10,INE0SRI01019,10
ABSMARINE,ABS Marine Services Limited,ST,21-May-24,10,INE0QRV01016,10
PRLIND,Premier Roadlines Limited,SM,17-May-24,10,INE0CFG01012,10
EMMIL,Energy Mission Machineries (India) Limited,ST,16-May-24,10,INE0S1L01013,10
SILKFLEX,Silkflex Polymers (India) Limited,SM,15-May-24,10,INE0STN01015,10
WINSOL,Winsol Engineers Limited,SM,14-May-24,10,INE0S3D01016,10
REFRACTORY,Refractory Shapes Limited,ST,14-May-24,10,INE0TNX01015,10
SLONE,Slone Infosystems Limited,ST,10-May-24,10,INE0SMA01017,10
RBS,Ramdevbaba Solvent Limited,SM,23-Apr-24,10,INE0RJH01010,10
BIRDYS,Grill Splendour Services Limited,SM,23-Apr-24,10,INE0PC901019,10
DCG,DCG Cables & Wires Limited,ST,16-Apr-24,10,INE0S8401018,10
TGL,Teerth Gopicon Limited,ST,16-Apr-24,10,INE0K6601012,10
DRSCARGO,DRS Cargo Movers Limited,ST,10-Apr-24,10,INE0QZM01018,10
CGRAPHICS,Creative Graphics Solutions India Limited,SM,09-Apr-24,10,INE0R7401011,10
ALUWIND,ALUWIND INFRA-TECH LIMITED,SM,09-Apr-24,10,INE0STM01017,10
K2INFRA,K2 Infragen Limited,ST,08-Apr-24,10,INE0DEZ01013,10
YASHOPTICS,Yash Optics & Lens Limited,SM,08-Apr-24,10,INE0TO601017,10
TAC,TAC Infosec Limited,SM,05-Apr-24,10,INE0SOY01013,10
RADIOWALLA,Radiowalla Network Limited,SM,05-Apr-24,10,INE430U01019,10
TRUST,Trust Fintech Limited,ST,04-Apr-24,10,INE0SWN01019,10
ASPIRE,Aspire & Innovative Advertising Limited,ST,03-Apr-24,10,INE0S7801010,10
BLUEPEBBLE,Blue Pebble Limited,ST,03-Apr-24,10,INE0SAK01011,10
NAMAN,Naman In-Store (India) Limited,ST,02-Apr-24,10,INE0RJM01010,10
VISHWAS,Vishwas Agri Seeds Limited,SM,01-Apr-24,10,INE0S2E01016,10
ENFUSE,Enfuse Solutions Limited,SM,22-Mar-24,10,INE0S3X01014,10
ENSER,Enser Communications Limited,ST,22-Mar-24,2,INE0R9I01021,2
AVPINFRA,AVP Infracon Limited,SM,20-Mar-24,10,INE0R9401019,10
SIGNORIA,Signoria Creation Limited,ST,19-Mar-24,10,INE0RDE01010,10
PRATHAM,Pratham EPC Projects Limited,SM,18-Mar-24,10,INE0QA601016,10
SHREEKARNI,Shree Karni Fabcom Limited,SM,14-Mar-24,10,INE0S4Y01010,10
SONAMAC,Sona Machinery Limited,SM,13-Mar-24,10,INE0Q6H01012,10
VR,V R Infraspace Limited,SM,12-Mar-24,10,INE0QQM01017,10
MVKAGRO,M.V.K. Agro Food Product Limited,ST,07-Mar-24,10,INE0SGC01015,10
PURVFLEXI,Purv Flexipack Limited,ST,05-Mar-24,10,INE0R6C01012,10
OWAIS,Owais Metal And Mineral Processing Limited,ST,04-Mar-24,10,INE0R8M01017,10
SADHAV,Sadhav Shipping Limited,ST,01-Mar-24,10,INE0K5H01010,10
ZENITHDRUG,Zenith Drugs Limited,ST,27-Feb-24,10,INE0QWN01013,10
DEEM,Deem Roll Tech Limited,SM,27-Feb-24,10,INE586O01011,10
TCL,Thaai Casting Limited,SM,23-Feb-24,10,INE0QJL01014,10
INM,Interiors & More Limited,ST,23-Feb-24,10,INE0OPC01015,10
KTL,Kalahridhaan Trendz Limited,SZ,23-Feb-24,10,INE02M801018,10
ESCONET,Esconet Technologies Limited,ST,23-Feb-24,10,INE0RQZ01017,10
ATMASTCO,Atmastco Limited,SM,23-Feb-24,10,INE05DH01017,10
WTICAB,Wise Travel India Limited,SM,19-Feb-24,10,INE623Y01011,10
POLYSIL,Polysil Irrigation Systems Limited,ST,16-Feb-24,10,INE517M01028,10
ALPEXSOLAR,Alpex Solar Limited,SM,15-Feb-24,10,INE0R4701017,10
ITALIANE,Italian Edibles Limited,SM,12-Feb-24,10,INE0R7R01018,10
BAWEJA,Baweja Studios Limited,SM,06-Feb-24,10,INE0JFJ01011,10
MEGATHERM,Megatherm Induction Limited,SM,05-Feb-24,10,INE531R01010,10
DELAPLEX,Delaplex Limited,SM,02-Feb-24,10,INE0SK801018,10
FONEBOX,Fonebox Retail Limited,SM,02-Feb-24,10,INE0Q4701019,10
DHTL,Docmode Health Technologies Limited,ST,02-Feb-24,10,INE0OGG01015,10
LAWSIKHO,Addictive Learning Technology Limited,ST,30-Jan-24,10,INE0RDH01021,10
KONSTELEC,Konstelec Engineers Limited,ST,30-Jan-24,10,INE0QEI01011,10
MAXPOSURE,Maxposure Limited,SM,23-Jan-24,10,INE0ECC01022,10
APS,Australian Premium Solar (India) Limited,SM,18-Jan-24,10,INE0P0001010,10
IBLFL,IBL Finance Limited,SM,16-Jan-24,10,INE0O7401018,10
KLL,Kaushalya Logistics Limited,SM,08-Jan-24,10,INE0Q2V01012,10
KCEIL,Kay Cee Energy & Infra Limited,ST,05-Jan-24,10,INE0RCG01017,10
HRHNEXT,HRH Next Services Limited,ST,03-Jan-24,10,INE0R3501012,10
AKANKSHA,Akanksha Power and Infrastructure Limited,SM,03-Jan-24,10,INE0PCY01014,10
SAIFL,Sameera Agro And Infra Limited,SM,01-Jan-24,10,INE0PZA01015,10
INDIFRA,Indifra Limited,ST,29-Dec-23,10,INE0PS301014,10
SUPREMEPWR,Supreme Power Equipment Limited,ST,29-Dec-23,10,INE0QHG01026,10
TECHLABS,Trident Techlabs Limited,ST,29-Dec-23,10,INE0QD201012,10
EFORCE,Electro Force (India) Limited,ST,27-Dec-23,10,INE0Q1W01012,10
SHREEOSFM,Shree OSFM E-Mobility Limited,SM,21-Dec-23,10,INE02S501018,10
SJLOGISTIC,S J Logistics (India) Limited,SM,19-Dec-23,10,INE0F3301020,10
PRESSTONIC,Presstonic Engineering Limited,SM,18-Dec-23,10,INE0R1601012,10
ACCENTMIC,Accent Microcell Limited,SM,15-Dec-23,10,INE0Q5D01013,10
GRAPHISAD,Graphisads Limited,SM,13-Dec-23,10,INE0POU01017,10
SHEETAL,Sheetal Universal Limited,SM,11-Dec-23,10,INE04VX01019,10
MARINETRAN,Marinetrans India Limited,ST,08-Dec-23,10,INE0P1P01017,10
CBAZAAR,Net Avenue Technologies Limited,ST,08-Dec-23,1,INE518X01015,1
ROCKINGDCE,Rockingdeals Circular Economy Limited,ST,30-Nov-23,10,INE0PTR01012,10
SUNREST,Sunrest Lifescience Limited,SM,20-Nov-23,10,INE0PLZ01012,10
ROXHITECH,Rox Hi Tech Limited,ST,16-Nov-23,10,INE0PDJ01013,10
BABAFP,Baba Food Processing (India) Limited,SM,15-Nov-23,10,INE0QW501012,10
MICROPRO,Micropro Software Solutions Limited,SM,10-Nov-23,10,INE0PZK01014,10
SARTELE,Sar Televenture Limited,SM,08-Nov-23,2,INE0PUC01020,2
MAITREYA,Maitreya Medicare Limited,SM,07-Nov-23,10,INE0PLQ01011,10
TRANSTEEL,Transteel Seating Technologies Limited,SM,06-Nov-23,10,INE0NVI01020,10
PARAGON,Paragon Fine and Speciality Chemical Limited,ST,03-Nov-23,10,INE0N4G01012,10
SHANTHALA,Shanthala FMCG Products Limited,ST,03-Nov-23,10,INE0Q9Q01017,10
ONDOOR,On Door Concepts Limited,ST,01-Nov-23,10,INE00ER01015,10
RCDL,Rajgor Castor Derivatives Limited,SM,31-Oct-23,10,INE0BZQ01011,10
WOMANCART,Womancart Limited,SM,27-Oct-23,10,INE0Q9601016,10
ARVINDPORT,ARVIND PORT AND INFRA LIMITED,ST,25-Oct-23,10,INE0P4T01013,10
COMMITTED,Committed Cargo Care Limited,ST,18-Oct-23,10,INE597Z01014,10
PLADAINFO,Plada Infotech Services Limited,SM,13-Oct-23,10,INE0PXD01014,10
SCML,Sharp Chucks and Machines Limited,SM,12-Oct-23,10,INE460Q01014,10
KARNIKA,Karnika Industries Limited,ST,12-Oct-23,10,INE0MGA01012,10
CANARYS,Canarys Automations Limited,SM,11-Oct-23,2,INE0QG301017,2
GOYALSALT,Goyal Salt Limited,SM,11-Oct-23,10,INE0QFE01017,10
OLIL,Oneclick Logistics India Limited,ST,11-Oct-23,10,INE0OPS01011,10
VISHNUINFR,Vishnusurya Projects and Infra Limited,SM,10-Oct-23,10,INE0PQ001012,10
KONTOR,Kontor Space Limited,ST,10-Oct-23,10,INE0KZ301010,10
ARABIAN,Arabian Petroleum Limited,SM,09-Oct-23,10,INE08NJ01024,10
EFACTOR,E Factor Experiences Limited,SM,09-Oct-23,10,INE0KFF01017,10
VINYAS,Vinyas Innovative Technologies Limited,SM,06-Oct-23,10,INE0OLS01010,10
INSPIRE,Inspire Films Limited,SM,05-Oct-23,10,INE0NDX01019,10
NEWJAISA,Newjaisa Technologies Limited,ST,05-Oct-23,5,INE0PW501021,5
MAL,Mangalam Alloys Limited,SM,04-Oct-23,10,INE00C401011,10
DIGIKORE,Digikore Studios Limited,ST,04-Oct-23,10,INE0QJ901011,10
SAAKSHI,Saakshi Medtech and Panels Limited,SM,03-Oct-23,10,INE0PSK01027,10
MASTER,Master Components Limited,SM,29-Sep-23,10,INE0OJM01017,10
HIGREEN,Hi-Green Carbon Limited,SM,28-Sep-23,10,INE0PIC01017,10
CELLECOR,Cellecor Gadgets Limited,SM,28-Sep-23,1,INE0OMO01025,1
MARCO,Marco Cables & Conductors Limited,SM,28-Sep-23,10,INE0QP001012,10
KODYTECH,Kody Technolab Limited,ST,27-Sep-23,10,INE0Q7P01013,10
MADHUSUDAN,Madhusudan Masala Limited,SM,26-Sep-23,10,INE0P6701019,10
KEL,Kundan Edifice Limited,SM,26-Sep-23,10,INE0OWX01025,10
HOLMARC,Holmarc Opto-Mechatronics Limited,SM,25-Sep-23,10,INE0LXA01019,10
CHAVDA,Chavda Infra Limited,SM,25-Sep-23,10,INE0PT101017,10
UNIHEALTH,Unihealth Hospitals Limited,SM,21-Sep-23,10,INE0PRF01011,10
JIWANRAM,Jiwanram Sheoduttrai Industries Limited,ST,18-Sep-23,10,INE0N5H01017,10
SAROJA,Saroja Pharma Industries India Limited,SM,13-Sep-23,10,INE0PCL01011,10
PRAMARA,Pramara Promotions Limited,SM,13-Sep-23,10,INE0O7A01017,10
BASILIC,Basilic Fly Studio Limited,ST,11-Sep-23,10,INE0OCC01013,10
MONOPHARMA,Mono Pharmacare Limited,SM,07-Sep-23,10,INE0OIP01012,10
CPS,C P S Shapers Limited,SM,07-Sep-23,10,INE0QBU01012,10
SAHAJ,Sahaj Fashions Limited,ST,06-Sep-23,10,INE013901017,10
SEL,Sungarner Energies Limited,SM,31-Aug-23,10,INE0O3O01017,10
CLSL,Crop Life Science Limited,SM,30-Aug-23,10,INE00NH01017,10
SSFL,Srivari Spices And Foods Limited,SM,18-Aug-23,10,INE0ON201012,10
YUDIZ,Yudiz Solutions Limited,ST,17-Aug-23,10,INE09FA01019,10
SANGANI,Sangani Hospitals Limited,SM,17-Aug-23,10,INE0OVI01010,10
VINSYS,Vinsys IT Services India Limited,SM,11-Aug-23,10,INE0OSJ01014,10
ORIANA,Oriana Power Limited,SM,11-Aug-23,10,INE0OUT01019,10
ZEAL,Zeal Global Services Limited,SM,09-Aug-23,10,INE0PPS01018,10
SHRITECH,Shri Techtex Limited,SM,04-Aug-23,10,INE0OMF01015,10
YCCL,Yasons Chemex Care Limited,SM,03-Aug-23,10,INE08S201019,10
SERVICE,Service Care Limited,SM,26-Jul-23,10,INE0P1Q01015,10
DRONE,Drone Destination Limited,ST,21-Jul-23,10,INE0P7201019,10
TRIDHYA,Tridhya Tech Limited,SM,13-Jul-23,10,INE0LWY01029,10
SYNOPTICS,Synoptics Technologies Limited,ST,13-Jul-23,10,INE0BTR01012,10
GLOBALPET,Global Pet Industries Limited,SM,10-Jul-23,10,INE0PS501019,10
PENTAGON,Pentagon Rubber Limited,SM,07-Jul-23,10,INE0ORS01017,10
GREENCHEF,Greenchef Appliances Limited,SM,06-Jul-23,10,INE0O7P01015,10
MAGSON,Magson Retail And Distribution Limited,ST,06-Jul-23,10,INE0O1S01012,10
ESFL,Essen Speciality Films Limited,SM,06-Jul-23,10,INE0ITO01014,10
VILINBIO,Vilin Bio Med Limited,ST,30-Jun-23,10,INE0L4V01013,10
AATMAJ,Aatmaj Healthcare Limited,SM,30-Jun-23,5,INE0OB201016,5
CELLPOINT,Cell Point (India) Limited,SM,28-Jun-23,10,INE0O0001013,10
SPECTSTM,Spectrum Talent Management Limited,SM,22-Jun-23,10,INE0OL001018,10
URBAN,Urban Enviro Waste Management Limited,ST,22-Jun-23,10,INE0O0201019,10
KDL,Kore Digital Limited,ST,14-Jun-23,10,INE0O4R01018,10
SAHANA,Sahana System Limited,SM,12-Jun-23,10,INE0LEX01011,10
INFOLLION,Infollion Research Services Limited,SM,08-Jun-23,10,INE0NNZ01013,10
PROV,Proventus Agrocom Limited,SM,05-Jun-23,10,INE0ONE01016,10
DENTALKART,Vasa Denticity Limited,SM,02-Jun-23,10,INE0N5801013,10
CRAYONS,Crayons Advertising Limited,ST,02-Jun-23,10,INE0OFK01019,10
REMUS,Remus Pharmaceuticals Limited,SM,29-May-23,10,INE0O5T01011,10
KRISHCA,Krishca Strapping Solutions Limited,ST,26-May-23,10,INE0NR701018,10
AUROIMPEX,Auro Impex  & Chemicals Limited,SM,23-May-23,10,INE0NUL01018,10
DENEERS,De Neers Tools Limited,SM,11-May-23,10,INE0JWV01011,10
QUICKTOUCH,Quicktouch Technologies Limited,ST,02-May-23,10,INE0K4D01020,10
AGUL,A G Universal Limited,SM,24-Apr-23,10,INE0O6N01012,10
PATTECH,Pattech Fitwell Tube Components Limited,SM,21-Apr-23,10,INE0NZW01014,10
MOS,Mos Utility Limited,SM,18-Apr-23,10,INE0N7S01010,10
INFINIUM,Infinium Pharmachem Limited,SM,17-Apr-23,10,INE0MRE01011,10
SOTAC,Sotac Pharmaceuticals Limited,SM,13-Apr-23,10,INE0O2D01012,10
NIRMAN,Nirman Agri Genetics Limited,ST,28-Mar-23,10,INE0OK701014,10
QFIL,Quality Foils (India) Limited,SM,24-Mar-23,10,INE0O1M01015,10
VELS,Vels Film International Limited,ST,22-Mar-23,10,INE0I3H01019,10
MCON,Mcon Rasayan India Limited,SM,20-Mar-23,10,INE0O4M01019,10
VERTEXPLUS,Vertexplus Technologies Limited,ST,15-Mar-23,10,INE0NLB01018,10
SYSTANGO,Systango Technologies Limited,SM,15-Mar-23,10,INE0O7R01011,10
SRIVASAVI,Srivasavi Adhesive Tapes Limited,SM,09-Mar-23,10,INE0NPI01014,10
VIAZ,Viaz Tyres Limited,SM,01-Mar-23,10,INE0MO401019,10
AGARWALFT,Agarwal Float Glass India Limited,ST,23-Feb-23,10,INE0MLA01012,10
LRRPL,Lead Reclaim And Rubber Products Limited,ST,21-Feb-23,10,INE0H4B01011,10
SHERA,Shera Energy Limited,SM,17-Feb-23,10,INE0MM001019,10
GRCL,Gayatri Rubbers And Chemicals Limited,SM,07-Feb-23,10,INE0LVM01018,10
ARISTO,Aristo Bio-Tech And Lifescience Limited,SM,30-Jan-23,10,INE082101010,10
DUCOL,Ducol Organics And Colours Limited,SM,19-Jan-23,10,INE0LZO01015,10
CMNL,Chaman Metallics Limited,SM,16-Jan-23,10,INE06PV01010,10
ANLON,Anlon Technology Solutions Limited,SM,10-Jan-23,10,INE0LR101013,10
RBMINFRA,Rbm Infracon Limited,ST,04-Jan-23,10,INE0NA301016,10
HOMESFY,Homesfy Realty Limited,SM,02-Jan-23,10,INE0N7F01017,10
MOXSH,Moxsh Overseas Educon Limited,SM,30-Dec-22,10,INE0N6D01014,10
UMA,Uma Converter Limited,SM,29-Dec-22,10,INE067901012,10
ARIHANTACA,Arihant Academy Limited,SM,29-Dec-22,10,INE0NCC01015,10
DOLLEX,Dollex Agrotech Limited,SM,28-Dec-22,10,INE0JHH01011,10
ALLETEC,All E Technologies Limited,SM,21-Dec-22,10,INE0M2X01012,10
ARHAM,Arham Technologies Limited,SM,15-Dec-22,10,INE0L2Y01011,10
PRITIKA,Pritika Engineering Components Limited,ST,08-Dec-22,5,INE0MJQ01020,5
BAHETI,Baheti Recycling Industries Limited,SM,08-Dec-22,10,INE029Q01017,10
AMIABLE,Amiable Logistics (India) Limited,SM,16-Nov-22,10,INE0MTP01013,10
